Term,Canada
Canada appeared in151 documents,Total words(m),frequency (f)
Article 1.txt,80,1
Article 2.txt,78,2
Article 3.txt,76,2
Article 4.txt,43,1
Article 5.txt,117,1
Article 6.txt,84,1
Article 7.txt,88,2
Article 8.txt,120,2
Article 9.txt,91,2
Article 10.txt,101,2
Article 11.txt,107,2
Article 12.txt,89,3
Article 15.txt,101,2
Article 16.txt,107,2
Article 17.txt,114,1
Article 18.txt,107,5
Article 19.txt,99,5
Article 20.txt,111,1
Article 21.txt,105,5
Article 22.txt,104,6
Article 23.txt,66,3
Article 24.txt,87,3
Article 27.txt,105,5
Article 28.txt,101,6
Article 29.txt,113,3
Article 30.txt,104,2
Article 31.txt,108,6
Article 32.txt,89,5
Article 33.txt,113,2
Article 34.txt,105,2
Article 36.txt,95,1
Article 37.txt,98,7
Article 38.txt,94,3
Article 39.txt,101,2
Article 40.txt,93,3
Article 41.txt,106,1
Article 42.txt,101,5
Article 43.txt,52,2
Article 44.txt,84,2
Article 45.txt,75,2
Article 46.txt,93,2
Article 47.txt,112,1
Article 48.txt,78,2
Article 49.txt,78,2
Article 50.txt,102,3
Article 51.txt,100,2
Article 53.txt,105,2
Article 54.txt,103,1
Article 55.txt,102,2
Article 56.txt,109,1
Article 57.txt,103,3
Article 58.txt,115,1
Article 59.txt,99,5
Article 60.txt,100,2
Article 61.txt,114,3
Article 62.txt,82,2
Article 63.txt,77,2
Article 64.txt,114,3
Article 65.txt,111,2
Article 66.txt,108,3
Article 67.txt,70,2
Article 68.txt,83,2
Article 71.txt,99,1
Article 72.txt,101,1
Article 73.txt,111,4
Article 74.txt,103,2
Article 76.txt,103,1
Article 77.txt,102,2
Article 78.txt,98,2
Article 79.txt,88,1
Article 81.txt,104,2
Article 82.txt,100,5
Article 83.txt,79,1
Article 84.txt,113,2
Article 85.txt,112,2
Article 86.txt,103,2
Article 87.txt,106,2
Article 88.txt,102,3
Article 89.txt,93,1
Article 90.txt,99,2
Article 91.txt,104,3
Article 92.txt,86,1
Article 93.txt,102,2
Article 94.txt,102,2
Article 95.txt,96,1
Article 96.txt,116,4
Article 97.txt,101,3
Article 98.txt,123,3
Article 99.txt,105,3
Article 124.txt,72,1
Article 205.txt,113,1
Article 206.txt,94,2
Article 207.txt,94,1
Article 226.txt,85,1
Article 228.txt,88,3
Article 233.txt,80,1
Article 244.txt,90,2
Article 250.txt,82,1
Article 254.txt,79,1
Article 256.txt,110,1
Article 258.txt,77,2
Article 261.txt,91,2
Article 262.txt,83,2
Article 264.txt,65,1
Article 266.txt,82,1
Article 269.txt,77,1
Article 270.txt,77,1
Article 272.txt,90,2
Article 275.txt,80,1
Article 277.txt,88,1
Article 300.txt,88,2
Article 301.txt,103,1
Article 316.txt,107,5
Article 322.txt,79,2
Article 337.txt,108,4
Article 341.txt,110,4
Article 345.txt,102,3
Article 349.txt,96,3
Article 350.txt,77,1
Article 360.txt,84,2
Article 363.txt,102,3
Article 364.txt,102,3
Article 366.txt,101,2
Article 378.txt,71,2
Article 379.txt,96,4
Article 381.txt,108,2
Article 382.txt,108,2
Article 384.txt,101,2
Article 397.txt,101,2
Article 401.txt,112,1
Article 403.txt,105,1
Article 407.txt,102,1
Article 408.txt,94,2
Article 422.txt,70,1
Article 423.txt,70,1
Article 426.txt,68,1
Article 435.txt,74,1
Article 441.txt,107,1
Article 442.txt,95,3
Article 443.txt,89,2
Article 444.txt,91,2
Article 445.txt,81,1
Article 446.txt,81,2
Article 450.txt,67,1
Article 455.txt,99,2
Article 456.txt,71,2
Article 470.txt,113,1
Article 475.txt,95,1
Article 477.txt,88,2
Article 488.txt,92,2
Article 491.txt,79,5
