author,title,description,content,date
Walter Thompson,"Corporate, public investments spur interest in Pacific Northwest startups","Why are businesses and government organizations investing so much into the the strip of land down the West Coast from Vancouver, Canada to Portland, Oregon ","Cities have always been Americas centers of power, driving the economy forward through competition. But now, theyre ceasing to lead the countrys innovation. As jobs and talent have clustered, expertise has spilled over urban boundaries. In locations like the 6407 chars ",2019-11-07T22:50:09Z
Christopher Clarey,Spain Beats Canada to Win Davis Cup at Home,"Rafael Nadal helped the Spaniards defeat Canada, 2 0, to win the cup in its much discussed new format.","But Nadal faced down plenty of challenges, including 4 30 a.m. bedtimes after late finishing matches. Its always difficult to speak about Rafa, Lpez said. To be honest, there are things that you cannot describe with words, because the things that he was abl 1482 chars ",2019-11-25T00:07:43Z
Mihir Zaveri,7 Killed in Plane Crash in Ontario,The authorities in Canada said they were still investigating what caused the plane to crash on Wednesday.,"Seven people were killed when a small plane crashed north of Kingston, Ontario, on Wednesday evening, the authorities in Canada said. It was not immediately clear what caused the plane, a Piper PA 32, to crash after 5 p.m. The wreckage was found in a heavily 445 chars ",2019-11-29T01:25:31Z
Saavon Smalls,"Disney ranks No. 1 in App Store in U.S., Canada","Occurring just a day after the app launched, Disney now has at least 10 million accounts subscribed. Read more... More about Tech, Mashable Video, Streaming Service, Tiktok, and Disney",nan,2019-11-14T20:05:59Z
Darrell Etherington,"The Samsung Galaxy Fold is headed to Canada, with in store pre orders starting today","The Samsung Galaxy Fold is a very unique smartphone, in more ways than one. The most obvious differentiator is that it folds out to expose a large, continuous 7.3 display, hiding the seam thanks to a flexible OLED screen. Its also at the very top end of the","The Samsung Galaxy Fold is a very unique smartphone, in more ways than one. The most obvious differentiator is that it folds out to expose a large, continuous 7.3 display, hiding the seam thanks to a flexible OLED screen. Its also at the very top end of the 1731 chars ",2019-11-28T14:37:53Z
Annie Karni,"In Video, World Leaders Seem to Be Commiserating About Trump","The leaders of Canada, France and Britain did not appear to realize that their conversation at a Buckingham Palace reception was being recorded.","Mr. Trump was put on the defensive Tuesday by Mr. Macron, who during a tense 45 minute appearance aggressively challenged the American presidents vision for NATO and his handling of a military conflict involving Turkey. For Mr. Trump, it was a rare face to fa 880 chars ",2019-12-04T05:22:07Z
"Paul P. Murphy, CNN",The aurora borealis will be visible in parts of the US tonight,"Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night."," CNN Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night. According to NOAA's Space Weather Prediction Center, an explosion of solar energy from the sun is set to 766 chars ",2019-11-20T15:34:10Z
Greg Kumparak,"Disney will launch in the UK, Germany, Italy, France, and Spain in March 2020","Disney will launch in the US, Canada, and the Netherlands on November 12th, a bit shy of a week from today. On November 19th, itll expand to Australia and New Zealand. But what about the rest of the world Disney has kept a bit quiet about its plans for oth","Disney will launch in the US, Canada, and the Netherlands on November 12th, a bit shy of a week from today. On November 19th, itll expand to Australia and New Zealand. But what about the rest of the world Disney has kept a bit quiet about its plans for o 994 chars ",2019-11-08T00:38:52Z
Frederic Lardinois,Microsofts HoloLens 2 starts shipping,"Earlier this year, at Mobile World Congress in Barcelona, Microsoft announced the second generation of its HoloLens augmented reality visor. Today, the 3,500 HoloLens 2 is going on sale in the United States, Japan, China, Germany, Canada, United Kingdom, Ire","Earlier this year, at Mobile World Congress in Barcelona, Microsoft announced the second generation of its HoloLens augmented reality visor. Today, the 3,500 HoloLens 2 is going on sale in the United States, Japan, China, Germany, Canada, United Kingdom, Ire 1739 chars ",2019-11-07T13:00:49Z
Anthony Ha,"Disney officially launches its streaming crown jewel, Disney ","The centerpiece of Disneys streaming strategy is here. After an initial test in the Netherlands, Disney is officially launching in the United States and Canada today, with a lineup of original content that includes the first episode of the very first live a","The centerpiece of Disneys streaming strategy is here. After an initial test in the Netherlands, Disney is officially launching in the United States and Canada today, with a lineup of original content that includes the first episode of the very first live a 5086 chars ",2019-11-12T08:00:06Z
