Tweet,message,match,polarity
1," tlaw yavs feel free to dm me. knowing this university, also the way the passive works in dutch this could be meant ",works,positive
2, watson mind sometimes it just happens. she shrugs a little. my university days were great except th consequences of drunken antics.,None,neutral
3,rt stewart o this is why the corrupt hate him so much ,hate,negative
4,rt tyronefowlerjr3 excited to announce that i received a pwo offer from the penn state university golions mcdevittlancers mikew,excited,positive
5,"rt ajc baby, i love you, baby, her father said through tears during a news conference at atlanta police headquarters. just come home,",love,positive
6,rt andrewscheer former liberal premier frank mckenna absolutely nails it. justin trudeaus attacks on the energy sector have driven jo,None,neutral
7,"rt leafly if you're going to use a cannabis topical, it's important to know the difference between hemp and cannabis derived ingredient",important,positive
8,"rt deepgreendesign after failing to resign after three consecutive cpc hq election fraud convictions, who thought jkenney wouldn't chea",fraud,negative
9,rt alphiapossamai i am proud to represent an association that has a carers bursary amp to have set up a conference this year that is carer,proud,positive
10,rt elspence333 melissalantsman reicurran fordnation cpcmcgill conservatives need to define describe what a progressive conservative,None,neutral
11,im moving to canada,None,neutral
12, jj mccullough or... to poll and find out what canadians really believe and want and adjust to democratic desires. ,None,neutral
13,"rt riseup4r0java zurich, switzerland, students organize themselves in solidarity with rojava they occupied a university and took back t",solidarity,positive
14," kaitmarieox realdonaldtrump at the end of the donald trump speech at the university of florida, where about a qua ",trump,positive
15,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
16,rt thinkpo143 wow 2nd week na abroad isapawithfeelings mainexspeedmagazine ,wow,positive
17,rt ecoharry2 the peopleandplanet university league ranks every uk university based on their environmental and ethical standards. this is,ethical,positive
18,rt newsjunkyem gary mchale files private prosecution against pm justin trudeau justice for canada ,None,neutral
19,"some lovely autumn colored neighbors seen on my way home from work, on the local university campus. ",lovely,positive
20,rt anitawade104 finally ,None,neutral
21,rt mybrotherstwin im beyond done with lamar university dining hall im so disgusted rn. ,disgusted,negative
22,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
23,rt jaw cee anyone else a first gen college student thats being guilted into staying close to home instead of going to a better universit,better,positive
24,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
25,rt tstjdy drw37133371 alley167 jali cat realdonaldtrump agreed these mexican cartels are crazy and family is emersed so closely wi,crazy,negative
26,"rt jasonlietaer imagine attacking harper on national unity. there are a few things you can criticize, but national unity isn't one of the",unity,positive
27,rt presscoreca the cbc amp other major news media aren't investigating or reporting that liberals attended a campaign fundraiser in new yo,None,neutral
28,"rt elvischinedu12 airforce university bauchi, defense academy kaduna, war college abuja and army university borno. while se ss is for ru",None,neutral
29,"rt ne0liberal this is great. the squamish tribe plans to use their vancouver land to develop 11 high rise towers with 6k housing units, m",None,neutral
30,"check out the cfp written by myself and fellow mellon fellows repetition intended . digital spaces, physical spac ",None,neutral
31,multiple times on conans podcast ive heard him or others say comedy works better in small spaces. so why is his n ,better,positive
32, minliangtan would you guys be interested in donating or sponsoring southern university laboratory school esports team ,None,neutral
33,dear secretary trump stooge when are you going to stop kissing trump's rotund buttocks and start defend the dedic ,None,neutral
34,"rt monaheart1229 well, whaddya know ohio lawmaker is seeking to compel gop rep. jim jordan to testify under oath about whether he was aw",None,neutral
35,rt nathanchasey i'm excited to announce that i have committed to valparaiso university to further my academic and baseball career thank,thank,positive
36,only the 416 and 905 area codes of ontario hate alberta and the rest of canada they are the idiots who voted for t ,idiots,negative
37,rt lindsayonearth 'you protect what you love' why biodiversity thrives on indigenous managed lands ,protect,positive
38," fuzzydunlop25 denzil 85 piersmorgan dailymail so here is a back lady who agrees with him, is she a racist ",racist,negative
39,"rt copernicuseu last month's temperatures were 0.69c above average, making october 2019 the hottest on record. as can be seen in th",hottest,positive
40,"rt ant159694954 pldt global corp. pgc has partnered with remittance firm i remit, inc. to offer its mobile phone app payment service to",None,neutral
41,"rt rcmpgrcpolice there is a need to prioritize women's full and equal participation in conflict resolution, peace building and peacekeep",None,neutral
42,rt simsvip twitter giveaway follow amp rt for a chance to win one of five thesims4 discover university codes there will be 5 differe,win,positive
43,"rt speedtest surprise qubec city, qubec has the fastest average mobile download speeds, coming in at 76.63 mbps. take a look at the fu",fastest,positive
44,"rt sammygigs1 ""i'm very happy that i've finished secondary school cos i'm now done with the stressful part of education"" university htt",None,neutral
45,"rt ab covington i spent 3 years reporting this story about a single black professor's turbulent 50 year relationship with a conservative,",turbulent,negative
46,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
47,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
48,congrats to trevian on his acceptance letter to lamar university i am so proud of him and know that he has a v ,proud,positive
49,"i'm sorry, costco canada",None,neutral
50,"rt sairasameerarao everyone at the university of virginia still refers to thomas jefferson as mr. jefferson, which tells you all you need",None,neutral
51,"gender identity, fashion, tumultuous relationships and immigration were all themes of films presented at a new scho ",tumultuous,negative
52,"rt angus davison ""we obtained whole genome shotgun sequences of all 845 butterfly species recorded from the united states and canada"" htt",None,neutral
53,rt doktoberfestldn welcome to the official doktoberfest instagram page brought to you by awesomegroup the creators of londoncitybe,welcome,positive
54,rt john fogerty canada vegas. we cant wait to get back on the strip to rock the wynnlasvegas. have you been to johns show t,None,neutral
55,"rt robynwins111 you may have to hit the translate button, but this says a montreal city council member has pulled back her claim of being",None,neutral
56,rt acrmcancerrehab acrm functions as powerful glue that joins together professionals from all diagnostic areas and disciplines sue a,None,neutral
57,university of kentucky students' newspaper denied access to trump rally ... at rupp arena via courierjournal,None,neutral
58,"rt profblacktruth everyone says they're upset about the racial porn harriet."" well the university of texas in austin is hosting that scre",None,neutral
59,rt lamphieryeg scheer's climate change plan included using cdn technology to help high emissions countries like india reduce their emissi,like,positive
60,rt bamaquino talked about inclusive growth and the role of our youth in government amp business leadership at the business week of san beda,None,neutral
61,"rt ellendrawings i havent drawn in a long time watercolor portraits, probably more than 2 years.took cheapest materials, and didnt expect",cheapest,positive
62,rt abc police are asking for help locating a 21 year old clark atlanta university student who vanished last week. ,None,neutral
63,rt pomsabrecats some of our girls are taking part in the spiderwalk this thursday the spiderwalk is a 13 mile night walk for the univers,None,neutral
64,"rt mikeeypup sorry i havent been very active today, im about to cross the border back into canada. im tired, annoyed and a little sad",sad,negative
65,"rt henningcella ""extending the flipped classroom approach using technology in module delivery to students of english language and litera",None,neutral
66," stevebowen12 there was also themed days, which could have led more people to forgo repping their university. dis ",led,positive
67,"rejected angry utech staff maintain strike, ponder legal action. unionised academic staff of the university of tec ",angry,negative
68,"we are starting 5 minutes early, but the lander university blue gold world series draft has begun ",gold,positive
69,"rt miss mcinerney also, it now appears he went to a sixth form college which, if we allow it as fe, makes him the first edu sec to atten",miss,negative
70,october was rain free. is california heading for another drought ,drought,negative
71,less than a third of canadians view china favorably poll article amp reuters ,None,neutral
72,rt jaw cee anyone else a first gen college student thats being guilted into staying close to home instead of going to a better universit,better,positive
73,ncaas 1st d 1 basketball recruit with autism will be available to play for kent state university in season opener ,available,positive
74,"rt sdv 32 a greenville university ra heard that a couple was laying in bed together, this was the aftermath ",None,neutral
75,"clark university is proud to be located in worcester, ma the second largest city in new england and a vibrant c ",vibrant,positive
76,rt christophertodd stuinsd always a good read on the state of energy production... ,good,positive
77,"in case you missed it, check out ""cdd spotlight interview with ronnett seldon, university of cape town, south afric ",missed,negative
78,rt marquinnbooker not at 1876 not at alta vista agriculture amp mechanical college of texas for colored youth. not at prairie view a amp m un,None,neutral
79,"rt ayemojubar admission admission bullion van university, lagos first degree programme form will be out shortly. prospective candidate",None,neutral
80,rt ani5 a university really fucks with your mental health. check on your friends. some are really going through it and have no one to tal,None,neutral
81,"a major loss for guardian, but a major gain for manchester university....",None,neutral
82,"rt disabilitystor1 starfeuri this rant was also about being scheduled for things in the university itself, and being unable to do these",unable,negative
83,rt noririi argonavis from bang dream project be like a band of actually normal good young men who are furthering their education a b,good,positive
84,"tune in to whur 96.3 howard university and the daily drum and molettegreen. lets tell heath, fitness, wellness ",None,neutral
85,"university is really different man. i got asked to hang out, they same to meet them at 12 but i don't know if they ",hang,negative
86,"rt uottawaresearch don't miss the university of ottawa press annual launch date wednesday, november 6 time 5 p.m. to 7 p.m. where de",miss,negative
87,congratulations dr. rukaiya galadima. one of the best graduates in the faculty of medicine 2019. best in obstetr ,best,positive
88,rt publicintegrity hundreds of thousands of canadians are drinking tap water laced with high levels of lead. a torontostar investigation,None,neutral
89,meanwhile in canada... ,None,neutral
90,rt davidp4ad this from statnews dc diagnosis states who are applying for fed permission to import from canada may be waiting a long tim,None,neutral
91,"rt otagograd oil firms bail on canada if they thought things were getting better, they might hold on, but they dont see things gettin",None,neutral
92,canada rallies with two more wins and pan americans ,None,neutral
93,rt kikimordi the full documentary is here sexforgrades bbcafricaeye ,None,neutral
94, randumb kazify when i popped off and gave ur girl just a little bit of lock jaw baby so cold he from the north he from the canada,cold,negative
95,rt deedeetoolivee no offense but getting into my top university would suck ,None,neutral
96,blasted the hell out of this in university like i buried a man... damn man i need me a new rihanna album stat ,damn,negative
97,rt chad novak4 . cmuniversity why are we allowing animal cruelty exploitation to happen on our campus we should be advocates in ending,exploitation,negative
98,rt andrewscheer former liberal premier frank mckenna absolutely nails it. justin trudeaus attacks on the energy sector have driven jo,None,neutral
99,rt jkenney former liberal premier frank mckenna gets it. the land locking of canadian energy has created a huge transfer of wealth from,premier,positive
100,"rt microbiomdigest i just reported a set of 202 papers that were all authored by people from the same university. image problems, narrow",None,neutral
101,rt ifooya it snowed in canada ,None,neutral
102,rt jmarie70194747 come to wilberforce university thee first private hbcu ,None,neutral
103," newsbysmiley eric jotkoff cheathwftv all kidding aside, the town was a client back in the day, and i truly enjoy ",enjoy,positive
104,rt jopolkadot bill brandt halifax west yorkshire 1937 ,None,neutral
105,university of chichester esports call of duty modern warfare ,modern,positive
106,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
107,rt cravecreative and this ladies amp gentlemen of canada is how a leader protects his country amp its citizens from irreversible harm. ,irreversible,negative
108,rt norbertelekes unemployment rate. s africa 29.0 nigeria 23.1 turkey 13.9 spain 13.8 brazil 11.8 italy 9.5 india 8.5 fran,None,neutral
109,rt sorayaamygarcia svttradingusa svtusatrading svttrading kpoptradingpcs tradesinkpop day6 trading day6trade sell tradkpop kpopc,None,neutral
110,"rt nickimickeyb you see this starshipent you made this news in canada, even before the guys even made a tour stop here i will continue",None,neutral
111,rt aaronmcn a brief and uneventful standoff between police and students on the footbridge outside polyu ended with police leaving owan l,uneventful,negative
112,rt cravecreative and this ladies amp gentlemen of canada is how a leader protects his country amp its citizens from irreversible harm. ,irreversible,negative
113,a heartwarming story ,heartwarming,positive
114,rt arielelysegold israeli logic we steal their water and then generously help them fight their water shortages. ,None,neutral
115,rt spectatorindex felt anger in the previous day. iran 43 turkey 40 pakistan 38 italy 30 spain 30 india 27 saudi 26 nigeri,anger,negative
116,"rt alwynfjh twitter i'm only telling you this b c in the referendum my flatmates were from nz, canada amp australia and none of them knew t",None,neutral
117,rt andrewscheer former liberal premier frank mckenna absolutely nails it. justin trudeaus attacks on the energy sector have driven jo,None,neutral
118,rt otagograd persistent pipeline delays amp opposition have hampered the canadian o amp g industry. that's unlikely to change. may be time fo,unlikely,negative
119,rt thomjarmstrong how many rvs would it take to encircle surrey city hall... ,None,neutral
120,"rt dai james1942 quite so. the conservative party stands for nothing these days, but has presided over mass immigration, signed the un mi",conservative,negative
121,rt benstinar anthony edwards makes his debut for the university of georgia tonight. i have him as a top 2 pick in next summers nba draf,top,positive
122,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
123,rt atikamekshenga congratulations to ogimaa duke peltier for his new position of anishinabek nation children's commissioner ,congratulations,positive
124," mtomaz9 breaking news new line of canada goose jackets feature hair and skin of oconomowoc native, maddi tomaz",breaking,negative
