Author,Date,Text,Location,TweetedFromLocation,RetweetStatus,RetweetCount
redgillett,2019-11-05 22:56:42," tlaw yavs Feel free to DM me. Knowing this University, also the way the passive works in Dutch this could be meant ","Utrecht, Nederland",Nan,False,0
MollyHooperX,2019-11-05 22:56:42, Watson Mind Sometimes it just happens. She shrugs a little. My university days were great except th consequences of drunken antics.,"St Barts, London",Nan,False,0
wtffkai,2019-11-05 22:56:42,RT Stewart O tHIS is wHY The coRrupT hATE him sO muCH ,35 53 66,Nan,False,0
MikeWakins,2019-11-05 22:56:42,RT TyroneFowlerJr3 Excited to announce that I received a PWO Offer from The Penn State University GoLions McDevittLancers MikeW,"Wyncote, PA",Nan,False,0
AYFFOfficial,2019-11-05 22:56:43,"RT ajc Baby, I love you, baby, her father said through tears during a news conference at Atlanta police headquarters. Just come home,",International ,Nan,False,0
RichardAustin77,2019-11-05 22:56:43,RT AndrewScheer Former Liberal Premier Frank McKenna absolutely nails it. Justin Trudeaus attacks on the energy sector have driven jo,North York ,Nan,False,0
verdevie,2019-11-05 22:56:43,"RT Leafly If you're going to use a cannabis topical, it's important to know the difference between hemp and cannabis derived ingredient",nan,Nan,False,0
RickAcadie,2019-11-05 22:56:44,"RT deepgreendesign After failing to resign after three consecutive CPC HQ election fraud convictions, who thought JKenney wouldn't chea",Sunset Point,Nan,False,0
PetaCook,2019-11-05 22:56:44,RT AlphiaPossamai I am proud to represent an association that has a carers bursary amp to have set up a conference this year that is carer,"Tasmania, Australia",Nan,False,0
elspence333,2019-11-05 22:56:44,RT elspence333 MelissaLantsman reicurran fordnation CPCMcGill Conservatives need to define describe what a progressive conservative,Canada,Nan,False,0
iarismendii,2019-11-05 22:56:44,im moving to canada,United States,Nan,False,0
jmwensley,2019-11-05 22:56:45, JJ McCullough Or... to poll and find out what Canadians really believe and want and adjust to democratic desires. ,"Toronto, Ontario",Nan,False,0
nuriallibertatc,2019-11-05 22:56:45,"RT RISEUP4R0JAVA Zurich, Switzerland, students organize themselves in solidarity with Rojava They occupied a university and took back t",Repblica de Catalunya,Nan,False,0
daniel_freedman,2019-11-05 22:56:45," KaitMarieox realDonaldTrump At the end of the Donald Trump speech at the University of Florida, where about a qua ",Gainesville Florida,Nan,False,0
miscasi56,2019-11-05 22:56:46,"RT BBCScotlandNews ""A referendum is not a crime."" A new European Arrest Warrant has been issued for Clara Ponsati, the Catalonian politic","Madrid, Comunidad de Madrid",Nan,False,0
repsima_18,2019-11-05 22:56:46,RT ThinkPo143 Wow 2nd week na abroad IsaPaWithFeelings MaineXSpeedMagazine ,nan,Nan,False,0
PassivhausPlus,2019-11-05 22:56:46,RT EcoHarry2 The peopleandplanet university league ranks every UK university based on their environmental and ethical standards. This is,"South East, England",Nan,False,0
harringtondebe2,2019-11-05 22:56:46,RT NewsJunkyEm Gary McHale Files Private Prosecution against PM Justin Trudeau Justice For Canada ,nan,Nan,False,0
WitchChickens,2019-11-05 22:56:46,"Some lovely autumn colored neighbors Seen on my way home from work, on the local university campus. ","Vermont, USA",Nan,False,0
KimberlyPitzen,2019-11-05 22:56:46,RT AnitaWade104 Finally ,nan,Nan,False,0
Spacey___,2019-11-05 22:56:47,RT MyBrothersTwin Im BEYOND done with Lamar University dining hall Im so disgusted rn. ,da streets,Nan,False,0
